,name,lat,long
524,Beaumont-de-Lomagne,43.88303,0.9876800000000001
525,Beaumont,46.10403,6.12074
526,Beaucroissant,45.34276,5.47102
527,Bazancourt,49.36562,4.17051
528,Bassens,44.90353,-0.517
529,Barlin,50.45238,2.6195500000000003
530,Balma,43.61111,1.49944
531,Bagard,44.07281,4.05137
532,Azay-le-Brûlé,46.40117,-0.24711000000000002
533,Ayguemorte-les-Graves,44.71091,-0.47645000000000004
534,Auzeville-Tolosane,43.52822,1.4832100000000001
535,Aumont-Aubrac,44.72237,3.28385
536,Augy,47.7664,3.61051
537,Aubry-du-Hainaut,50.36667,3.46667
538,Athies-sous-Laon,49.57369,3.68417
539,Arthaz-Pont-Notre-Dame,46.15941,6.26598
540,Arcueil,48.79993,2.33256
541,Arcangues,43.43684,-1.5213800000000002
542,Arbus,43.33314,-0.5056200000000001
543,Antonne,45.2126,0.8298300000000001
544,Antigny,46.61989,-0.7692
545,Antibes,43.58579,7.10831
546,Anthy-sur-Léman,46.35534,6.42735
547,Anizy-le-Château,49.50678,3.45119
548,Andernos-les-Bains,44.74572,-1.10355
549,Amnéville,49.25671,6.13414
550,Amfreville-la-Mi-Voie,49.40755,1.13871
551,Alfortville,48.80575,2.4204
552,Alès,44.12489,4.08082
553,Aimargues,43.68536,4.20774
554,Aiffres,46.28873,-0.41466000000000003
555,Agde,43.31083,3.47583
556,Afa,41.98396,8.79833
557,Acigné,48.13538,-1.5337
558,Ablon-sur-Seine,48.72732,2.42686
559,La Villette,43.31181,5.37391
560,Palais de Justice,43.28657,5.37603
561,Le Pharo,43.2914,5.35829
562,Périer,43.27755,5.37925
563,Les Trois-Lucs,43.31371,5.46248
564,Saint-Barthélémy,43.33105,5.40241
565,Willems,50.63206,3.2384
566,Vourles,45.65878,4.77325
567,Vouillé,46.31488,-0.36772000000000005
568,Vitrolles,43.46,5.24861
569,Vion,47.81909,-0.23925000000000002
570,Vinay,45.20832,5.40646
571,Vinassan,43.20443,3.07463
572,Villers-sur-Coudun,49.48308,2.80457
573,Villepinte,48.96203,2.53253
574,Villeparisis,48.94208,2.61463
575,Villeneuve-lès-Avignon,43.96773,4.79258
576,Villemeux-sur-Eure,48.67259,1.4647000000000001
577,Villedômer,47.54651,0.88775
578,Ville-d'Avray,48.82358,2.19311
579,Vielle-Saint-Girons,43.95,-1.3
580,Verson,49.15432,-0.45628
581,Vernou-sur-Brenne,47.41936,0.84757
582,Vernoil-le-Fourrier,47.38737,0.07883000000000001
583,Venoy,47.80518,3.63695
584,Vénissieux,45.69706,4.88593
585,Venarey-les-Laumes,47.54202,4.46022
586,Vaulx-Milieu,45.61329,5.18371
587,Vannes,47.65688,-2.7620500000000003
588,Vairé,46.60315,-1.7558500000000001
589,Urt,43.49382,-1.29059
590,Trie-sur-Baïse,43.32114,0.37064
